listing_id,raw_output
1," {
  ""TUV"": ""TÜV bis 10/25"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Bereifung"": ""8-fach"",
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC_ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
  ""MULTIBEAM"": ""Matrix-LED / MULTIBEAM"",
  ""4-Zonen_THERMOTRONIC_Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
  ""2-Zonen_THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
  ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": ""AMG Line"",
  ""Pano"": ""Panorama-Schiebedach""
}"
2," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""lückenlos bei Mercedes"",
    ""Bereifung"": ""8-fach"",
    ""Garantie"": ""24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle""
  },
  ""TEIL 2"": {
    ""DISTRONIC, ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
    ""MULTIBEAM, ILS"": ""Matrix-LED / MULTIBEAM"",
    ""4-Zonen, THERMOTRONIC, Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
    ""2-Zonen, THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
    ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
    ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
    ""AMG Line"": ""AMG Line"",
    ""Pano"": ""Panorama-Schiebedach""
  }
}"
3," {
  ""TUV"": true,
  ""Scheckheft"": true,
  ""Bereifung"": ""8-fach"",
  ""Garantie"": 24,
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC_ACC"": true,
  ""MULTIBEAM_ILS"": true,
  ""4-Zonen_THERMOTRONIC_Klima hinten"": true,
  ""2-Zonen_THERMATIC"": false,
  ""Burmester 3D"": false,
  ""Burmester (Standard)"": true,
  ""AMG Line"": true,
  ""Pano"": false
}"
4," {
  ""TUV"": ""HU/AU neu"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Keine"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Bereifung"": {
    ""Anzahl_Reifen"": ""8-fach"",
    ""Typ_Reifen"": ""Winter und Sommer""
  },
  ""Garantie"": {
    ""Anzahl_Monate"": ""24""
  },
  ""Ausstattung"": [
    ""Abgedunkelte Scheiben"",
    ""Ambiente-Beleuchtung"",
    ""Armlehne"",
    ""Elektr. Fensterheber"",
    ""Elektr. Heckklappe"",
    ""Elektr. Seitenspiegel"",
    ""Elektr. Seitenspiegel anklappbar"",
    ""Elektr. Sitzeinstellung"",
    ""Elektr. Sitzeinstellung mit Memory-Funktion"",
    ""Elektr. Sitzeinstellung, hinten"",
    ""Innenspiegel autom. abblendend"",
    ""Lederlenkrad"",
    ""Lordosenstütze"",
    ""Schiebedach"",
    ""Sitzheizung"",
    ""Zentralverriegelung"",
    ""Berganfahrassistent"",
    ""Bordcomputer"",
    ""Multifunktionslenkrad"",
    ""Schaltwippen"",
    ""Servolenkung"",
    ""Bluetooth"",
    ""Freisprecheinrichtung"",
    ""Navigationssystem"",
    ""Navigationsvorbereitung"",
    ""Soundsystem"",
    ""Sprachsteuerung"",
    ""Schaltwippen"",
    ""Servolenkung"",
    ""Bluetooth"",
    ""Freisprecheinrichtung"",
    ""Navigationssystem"",
    ""Navigationsvorbereitung"",
    ""Soundsystem"",
    ""Sprachsteuerung"",
    ""Abstandstempomat"",
    ""3-Zonen-Klimaautomatik""
  ],
  ""Sicherheit"": [
    ""Alarmanlage"",
    ""ABS"",
    ""Elektr. Wegfahrsperre"",
    ""ESP"",
    ""Fernlichtassistent"",
    ""Gepäckraumabtrennung"",
    ""Geschwindigkeitsbegrenzer"",
    ""Isofix"",
    ""Isofix Beifahrersitz"",
    ""Lichtsensor"",
    ""Müdigkeitswarner"",
    ""Nebelscheinwerfer"",
    ""Notbremsassistent"",
    ""Notrufsystem"",
    ""Regensensor"",
    ""Reifendruckkontrolle"",
    ""Spurhalteassistent"",
    ""Start/Stopp-Automatik"",
    ""Totwinkel-Assistent"",
    ""Traktionskontrolle"",
    ""Verkehrszeichenerkennung"",
    ""Airbags"": [
      ""Front-, Seiten- und weitere Airbags""
    ],
    ""Tagfahrlicht (Art)"": ""LED-Tagfahrlicht"",
    ""Hauptscheinwerfer"": ""LED-Scheinwerfer""
  ]
}"
5," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""lückenlos bei Mercedes"",
    ""Bereifung"": ""8-fach"",
    ""Garantie"": ""24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Keine"",
  },
  ""TEIL 2"": {
    ""DISTRONIC"": true,
    ""ACC"": true,
    ""MULTIBEAM"": true,
    ""ILS"": true,
    ""4-Zonen"": true,
    ""THERMOTRONIC"": true,
    ""Klima hinten"": true,
    ""2-Zonen"": false,
    ""THERMATIC"": false,
    ""Burmester 3D"": false,
    ""Burmester (Standard)"": false,
    ""AMG Line"": true,
    ""Pano"": true,
  },
}"
6," {
  ""TUV"": ""TÜV bis Oktober 2026, kann nach Rücksprache erneuert werden"",
  ""Scheckheft"": ""lückenlos bei Mercedes-Benz"",
  ""Bereifung"": ""8-fach Winterreifen"",
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": ""true"",
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC_ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
  ""MULTIBEAM_ILS"": ""Matrix-LED / MULTIBEAM"",
  ""4_Zonen_THERMOTRONIC_Klima_hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
  ""2_Zonen_THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
  ""Burmester_3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester_Standard"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": ""AMG Line (mit Night-Paket)"",
  ""Pano"": ""Panorama-Schiebedach""
}"
7," {
  ""TUV"": ""Neu bei Übergabe"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Service A neu"": true,
  ""Bereifung"": ""8-fach"",
  ""Allwetterreifen"": true,
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Rundherum Opt. Kratzer"",
  ""DISTRONIC"": true,
  ""MULTIBEAM"": true,
  ""4-Zonen"": true,
  ""THERMOTRONIC"": true,
  ""Klima hinten"": true,
  ""Burmester 3D"": true,
  ""AMG Line"": true,
  ""Pano"": true,
  ""Sitzheizung vorne und hinten"": true,
  ""Airbag Fahrer-/Beifahrerseite"": true,
  ""Antriebs-Schlupfregelung (ASR)"": true,
  ""Antriebsart"": ""Allradantrieb"",
  ""Außenspiegel elektr. verstell- und heizbar"": true,
  ""Elektronisches Traktionssystem (ETS)"": true,
  ""Fahrassistenz-System: Agility Select / Dynamic Select (Fahrmodusschalter)"": true,
  ""Fahrassistenz-System: aktiver Bremsassistent"": true,
  ""Fahrassistenz-System: aktiver Park-Assistent"": true,
  ""Fahrassistenz-System: Attention-Assist (Müdigkeitserkennungs-Sensor)"": true,
  ""Fahrassistenz-System: Bergabfahrkontrolle (Downhill-Speed-Regulation)"": true,
  ""Fahrassistenz-System: Berganfahrhilfe"": true,
  ""Fahrassistenz-System: Seitenwind-Assistent"": true,
  ""Fensterheber elektrisch vorn + hinten"": true,
  ""Feststellbremse elektrisch"": true,
  ""Gepäcknetz / Tasche an Vordersitzlehne"": true,
  ""Gepäckraumabdeckung / Rollo"": true,
  ""Handschuhfach mit Kühlfunktion"": true,
  ""Heckklappe mit automatischem Öffnungs- und Schließsystem"": true,
  ""Heckleuchten LED"": true,
  ""Infotainment-System: Mercedes me connect"": true,
  ""Intelligent Light System LED"": true,
  ""Isofix-Aufnahmen für Kindersitz an Rücksitz"": true,
  ""Karosserie: 5-türig"": true,
  ""Knieairbag Fahrerseite"": true,
  ""Komfort-Klimaautomatik (Thermotronik 3-Zonen)"": true,
  ""Kopf-Airbag-System (Windowbag)"": true,
  ""Lenkrad mit Multifunktion"": true,
  ""Memory-Paket"": true,
  ""Mercedes-Benz Notrufsystem"": true,
  ""Motor 4,7 Ltr. - 335 kW V8 KAT"": true,
  ""Multikontursitze vorn"": true,
  ""PRE-SAFE-System"": true,
  ""Radstand 3075 mm"": true,
  ""Reifendruck-Kontrollsystem"": true,
  ""Rücksitzlehne geteilt / klappbar"": true,
  ""Schadstoffarm nach Abgasnorm Euro 6"": true,
  ""Seitenairbag (Sidebag) vorn"": true,
  ""Sitze vorn elektr. verstellbar"": true,
  ""Sitzheizung vorn"": true,
  ""Sonnenblenden mit Spiegel (beleuchtet)"": true,
  ""Start/Stop-Anlage"": true,
  ""Steckdose (12V-Anschluß)"": true,
  "" Unterfahrschutz"": true,
  ""Wärmeschutzverglasung | , Regensensor"": true,
  ""ZV mit Funkf."": true
}"
8," {
  ""TUV"": ""HU/AU neu"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Bereifung"": ""8-fach"",
  ""Bereifung_Allwetterreifen"": ""true"",
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": ""false"",
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC_ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
  ""MULTIBEAM_ILS"": ""Matrix-LED / MULTIBEAM"",
  ""4-Zonen_THERMOTRONIC_Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
  ""2-Zonen_THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
  ""Burmester_3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": ""AMG Line (Achte darauf, ob auch Night-Paket erwähnt wird!)"",
  ""Pano"": ""Panorama-Schiebedach""
}"
9," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""lückenlos bei Mercedes"",
    ""Bereifung"": ""8-fach, Allwetterreifen"",
    ""Garantie"": ""24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Keine"",
  },
  ""TEIL 2"": {
    ""DISTRONIC, ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
    ""MULTIBEAM, ILS"": ""Matrix-LED / MULTIBEAM"",
    ""4-Zonen, THERMOTRONIC, Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
    ""2-Zonen, THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
    ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
    ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
    ""AMG Line"": ""AMG Line (Achte darauf, ob auch Night-Paket erwähnt wird!)"",
    ""Pano"": ""Panorama-Schiebedach""
  }
}"
10," {
  ""tuv"": ""HU/AU neu"",
  ""service_history"": ""lückenlos bei Mercedes"",
  ""tyres"": {
    ""type"": ""8-fach"",
    ""subtype"": ""Allwetterreifen""
  },
  ""guarantee"": {
    ""length"": ""24""
  },
  ""accident_free"": true,
  ""defects"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""features"": {
    ""distance_control"": true,
    ""multibeam"": true,
    ""climate_4_zones"": true,
    ""climate_2_zones"": false,
    ""burmester_3d"": false,
    ""burmester"": true,
    ""amg_line"": true,
    ""pano"": true,
    ""night_package"": true
  }
}"
